datetime;nat_demand;T2M_toc;QV2M_toc;TQL_toc;W2M_toc;T2M_san;QV2M_san;TQL_san;W2M_san;T2M_dav;QV2M_dav;TQL_dav;W2M_dav;Holiday_ID;holiday;school
01-01-2020 00:00;1032.263;25.80925903;0.01804159;0.032806396;14.84962463;23.30144653;0.01703451;0.021865845;4.559083354;22.59832153;0.016195277;0.0680542;3.737707736;1;1;0
01-01-2020 01:00;1017.5806;25.65084229;0.018064952;0.05317688;15.93375732;23.04146729;0.016935801;0.023796082;4.846412433;22.47115479;0.016104197;0.08010864;3.591758975;1;1;0
01-01-2020 02:00;1000.2797;25.50148926;0.01811875;0.069000244;16.80681807;22.80617676;0.016821753;0.024909973;5.204607646;22.36867676;0.016013037;0.09475708;3.704176849;1;1;0
01-01-2020 03:00;987.2383;25.43099365;0.018142119;0.08001709;17.4606325;22.65755615;0.01674594;0.02520752;5.628076155;22.28255615;0.015937224;0.10708618;3.936591561;1;1;0
01-01-2020 04:00;970.3667;25.36013184;0.018203776;0.08413696;16.63211163;22.53981934;0.01664738;0.022789001;5.729820587;22.20388184;0.015861552;0.11380005;4.08864278;1;1;0
01-01-2020 05:00;957.6767;25.31643066;0.018272119;0.08306885;15.16613976;22.41799316;0.016547875;0.01625824;5.705475416;22.14455566;0.015800195;0.11462402;4.13102412;1;1;0
01-01-2020 06:00;922.3729;25.35366211;0.018287243;0.08010864;14.49096444;22.44741211;0.016486706;0.013000488;5.860416118;22.12709961;0.015784802;0.10736084;4.090742222;1;1;0
01-01-2020 07:00;924.4692;26.07360229;0.018569738;0.079956055;16.12736785;23.83141479;0.016921788;0.015655518;8.454857756;22.41735229;0.015922338;0.09579468;4.056486467;1;1;0
01-01-2020 08:00;954.3947;26.93807373;0.01849305;0.1027832;20.17907624;25.46151123;0.017341012;0.01687622;9.816476167;23.17244873;0.015937204;0.07879639;4.277816668;1;1;0
01-01-2020 09:00;986.0648;27.67202148;0.01840099;0.10592651;22.82342667;26.95327148;0.017470203;0.014186859;11.69646905;24.25014648;0.015829884;0.050323486;4.394932716;1;1;0
01-01-2020 10:00;989.1948;28.32909546;0.018401042;0.113586426;24.01665762;28.06347046;0.017561808;0.012226105;12.49029477;25.43847046;0.01565446;0.030548096;4.558983894;1;1;0
01-01-2020 11:00;1005.6986;28.84682617;0.018484617;0.12756348;24.4729997;28.70620117;0.017584348;0.013698578;12.5999176;26.39370117;0.015375638;0.019577026;4.569095053;1;1;0
01-01-2020 12:00;1006.6785;29.23626099;0.018522074;0.1338501;24.39700892;29.06438599;0.017728617;0.019599915;12.38563768;27.08001099;0.015237621;0.013484955;4.104061181;1;1;0
01-01-2020 13:00;999.7711;29.40911255;0.018483391;0.13665771;23.90508878;29.20598755;0.017850151;0.029510498;11.50251684;27.42473755;0.015431633;0.011390686;2.920936594;1;1;0
01-01-2020 14:00;1000.8847;29.3684021;0.01836084;0.12976074;23.34670421;29.1340271;0.017910706;0.044647217;9.790443136;27.4309021;0.015812622;0.01134491;1.51903277;1;1;0
01-01-2020 15:00;1002.8859;29.12462769;0.01816197;0.11172485;22.51858668;28.79650269;0.018062787;0.080078125;8.085378038;27.15587769;0.015995221;0.025924683;0.499462232;1;1;0
01-01-2020 16:00;993.8271;28.71178589;0.017955508;0.07833862;21.36330156;28.18053589;0.018352237;0.10501099;6.923084223;26.49303589;0.016025271;0.038513184;0.415521375;1;1;0
01-01-2020 17:00;988.1441;27.93795166;0.017970355;0.043563843;19.14219492;26.98482666;0.018748553;0.12161255;5.404969599;25.53170166;0.01639107;0.048858643;0.911572925;1;1;0
01-01-2020 18:00;1086.8084;26.91921387;0.018229205;0.018157959;15.59973097;25.76296387;0.01855727;0.13305664;4.387417074;24.45046387;0.01677962;0.06512451;1.0512201;1;1;0
01-01-2020 19:00;1126.1699;26.46700439;0.018175213;0.009460449;14.51356879;25.27169189;0.018289654;0.13720703;4.659473717;23.77950439;0.016870586;0.06417847;1.061667637;1;1;0
01-01-2020 20:00;1130.5479;26.22609863;0.018006902;0.007043839;13.85206708;24.88234863;0.01803742;0.12963867;4.933951267;23.42141113;0.016732793;0.057174683;1.579080439;1;1;0
01-01-2020 21:00;1123.8589;26.06011353;0.017869193;0.007347107;13.50820292;24.49761353;0.017808158;0.11315918;4.842998024;23.16167603;0.016541678;0.05203247;2.143748016;1;1;0
01-01-2020 22:00;1072.263;25.93642578;0.017739177;0.009471893;13.79112608;24.18642578;0.017617106;0.09414673;4.730659311;22.95205078;0.016419291;0.050704956;2.240611478;1;1;0
01-01-2020 23:00;1076.9789;25.83171997;0.017540598;0.012001038;14.58571675;23.90203247;0.017426157;0.0869751;4.648056627;22.76140747;0.016304636;0.05709839;2.199219971;1;1;0
02-01-2020 00:00;1021.8683;25.70513306;0.017410813;0.015640259;15.17757081;23.62700806;0.017227707;0.07910156;4.635170412;22.52544556;0.01619011;0.07247925;2.235103956;0;0;0
02-01-2020 01:00;989.2139;25.57753906;0.017365025;0.02154541;15.47408244;23.35878906;0.017075108;0.07437134;4.635264238;22.31191406;0.016083287;0.0965271;2.288776336;0;0;0
02-01-2020 02:00;992.0821;25.4555603;0.017387943;0.023986816;15.41410777;23.1899353;0.016991215;0.06588745;4.782033358;22.1508728;0.015984135;0.11627197;2.370820163;0;0;0
02-01-2020 03:00;931.201;25.35692749;0.01743382;0.025749207;15.39387534;23.02098999;0.016884504;0.05845642;4.95965948;22.02098999;0.015892683;0.1274414;2.459837209;0;0;0
02-01-2020 04:00;922.7832;25.23531494;0.017548325;0.021614075;14.56437517;22.82125244;0.01672435;0.048721313;5.021768054;21.93843994;0.015801193;0.13317871;2.427078961;0;0;0
02-01-2020 05:00;958.1755;25.13759766;0.01762461;0.028518677;13.36721254;22.61416016;0.016556494;0.03781128;5.081156267;21.88759766;0.01573252;0.13085938;2.297210768;0;0;0
02-01-2020 06:00;987.5273;25.09865723;0.01766269;0.027679443;12.76862755;22.51271973;0.016434357;0.027374268;5.141066378;21.84865723;0.015679047;0.12298584;2.153017965;0;0;0
02-01-2020 07:00;1079.2255;26.02102051;0.0180517;0.02166748;15.20487775;23.95852051;0.016884403;0.017936707;7.495153784;22.42727051;0.015846806;0.10293579;2.072549646;0;0;0
02-01-2020 08:00;1237.3843;27.04085693;0.017929941;0.02193451;18.65144926;25.55648193;0.01718226;0.013874054;8.525396424;23.82210693;0.01580134;0.10205078;2.125043007;0;0;0
02-01-2020 09:00;1313.5203;27.91518555;0.017800884;0.021156311;19.78715119;27.10268555;0.017251568;0.009780884;9.584547409;25.27456055;0.0157028;0.08834839;1.968421364;0;0;0
02-01-2020 10:00;1383.2545;28.69002686;0.017778134;0.014308929;19.75360143;28.26815186;0.017289853;0.006418228;9.215921429;26.50252686;0.015649533;0.08065796;1.59161186;0;0;0
02-01-2020 11:00;1423.1525;29.29174194;0.017801292;0.017295837;19.59932781;29.19799194;0.017381676;0.00605011;8.515448657;27.43236694;0.01568032;0.09527588;1.353303943;0;0;0
02-01-2020 12:00;1446.9338;29.6737915;0.017847326;0.018676758;19.46199196;29.8456665;0.017435338;0.005376816;7.933542383;27.8612915;0.01614597;0.11557007;1.377320129;0;0;0
02-01-2020 13:00;1426.6427;29.82555542;0.01789309;0.022132874;19.27960673;30.26305542;0.017488733;0.00285244;7.49335573;27.90368042;0.016557947;0.13122559;1.817306847;0;0;0
02-01-2020 14:00;1432.75;29.80758057;0.017862473;0.030349731;18.75294484;30.30758057;0.017656479;0.002316475;6.974803307;27.65133057;0.01676384;0.14385986;2.412680743;0;0;0
02-01-2020 15:00;1387.9775;29.61809692;0.0177481;0.02861023;18.02115616;30.00872192;0.017954094;0.004198074;6.186624777;27.03997192;0.017015679;0.1560669;2.816889595;0;0;0
02-01-2020 16:00;1317.7584;29.23262939;0.017626217;0.017982483;17.58962296;29.42012939;0.018419674;0.018005371;4.966046956;26.32637939;0.016985347;0.15771484;3.123644807;0;0;0
02-01-2020 17:00;1257.317;28.37645874;0.017885968;0.011798859;16.33482107;28.29833374;0.01861839;0.017593384;4.263472666;25.42333374;0.017000958;0.16668701;3.298200836;0;0;0